All,households,HPIQ.SALL011,2017Q1,1.1Fruit,and,vegetables,Fruit,&,veg,subgroup,1083
All,households,HPIQ.SALL011,2017Q2,1.1Fruit,and,vegetables,Fruit,&,veg,subgroup,1168
All,households,HPIQ.SALL011,2017Q3,1.1Fruit,and,vegetables,Fruit,&,veg,subgroup,1191
All,households,HPIQ.SALL011,2017Q4,1.1Fruit,and,vegetables,Fruit,&,veg,subgroup,1060
All,households,HPIQ.SALL011,2018Q1,1.1Fruit,and,vegetables,Fruit,&,veg,subgroup,1073
All,households,HPIQ.SALL011,2018Q2,1.1Fruit,and,vegetables,Fruit,&,veg,subgroup,1098
All,households,HPIQ.SALL011,2018Q3,1.1Fruit,and,vegetables,Fruit,&,veg,subgroup,1121
All,households,HPIQ.SALL011,2018Q4,1.1Fruit,and,vegetables,Fruit,&,veg,subgroup,992
All,households,HPIQ.SALL011,2019Q1,1.1Fruit,and,vegetables,Fruit,&,veg,subgroup,1048
All,households,HPIQ.SALL011,2019Q2,1.1Fruit,and,vegetables,Fruit,&,veg,subgroup,1046
All,households,HPIQ.SALL011,2019Q3,1.1Fruit,and,vegetables,Fruit,&,veg,subgroup,1064
All,households,HPIQ.SALL011,2019Q4,1.1Fruit,and,vegetables,Fruit,&,veg,subgroup,1005
All,households,HPIQ.SALL011,2020Q1,1.1Fruit,and,vegetables,Fruit,&,veg,subgroup,1050
All,households,HPIQ.SALL011,2020Q2,1.1Fruit,and,vegetables,Fruit,&,veg,subgroup,1094
All,households,HPIQ.SALL011,2020Q3,1.1Fruit,and,vegetables,Fruit,&,veg,subgroup,1217
All,households,HPIQ.SALL011,2020Q4,1.1Fruit,and,vegetables,Fruit,&,veg,subgroup,1081
All,households,HPIQ.SALL011,2021Q1,1.1Fruit,and,vegetables,Fruit,&,veg,subgroup,1084
All,households,HPIQ.SALL011,2021Q2,1.1Fruit,and,vegetables,Fruit,&,veg,subgroup,1155
All,households,HPIQ.SALL011,2021Q3,1.1Fruit,and,vegetables,Fruit,&,veg,subgroup,1281
All,households,HPIQ.SALL011,2021Q4,1.1Fruit,and,vegetables,Fruit,&,veg,subgroup,1156
All,households,HPIQ.SALL011,2022Q1,1.1Fruit,and,vegetables,Fruit,&,veg,subgroup,1265
All,households,HPIQ.SALL011,2022Q2,1.1Fruit,and,vegetables,Fruit,&,veg,subgroup,1252
All,households,HPIQ.SALL011,2022Q3,1.1Fruit,and,vegetables,Fruit,&,veg,subgroup,1456
All,households,HPIQ.SALL012,2008Q2,"1.2Meat,",poultry,and,fish,Meat,subgroup,869
All,households,HPIQ.SALL012,2008Q3,"1.2Meat,",poultry,and,fish,Meat,subgroup,895
All,households,HPIQ.SALL012,2008Q4,"1.2Meat,",poultry,and,fish,Meat,subgroup,949
All,households,HPIQ.SALL012,2009Q1,"1.2Meat,",poultry,and,fish,Meat,subgroup,950
All,households,HPIQ.SALL012,2009Q2,"1.2Meat,",poultry,and,fish,Meat,subgroup,962
All,households,HPIQ.SALL012,2009Q3,"1.2Meat,",poultry,and,fish,Meat,subgroup,968
All,households,HPIQ.SALL012,2009Q4,"1.2Meat,",poultry,and,fish,Meat,subgroup,957
All,households,HPIQ.SALL012,2010Q1,"1.2Meat,",poultry,and,fish,Meat,subgroup,961
All,households,HPIQ.SALL012,2010Q2,"1.2Meat,",poultry,and,fish,Meat,subgroup,938
All,households,HPIQ.SALL012,2010Q3,"1.2Meat,",poultry,and,fish,Meat,subgroup,955
All,households,HPIQ.SALL012,2010Q4,"1.2Meat,",poultry,and,fish,Meat,subgroup,983
All,households,HPIQ.SALL012,2011Q1,"1.2Meat,",poultry,and,fish,Meat,subgroup,998
All,households,HPIQ.SALL012,2011Q2,"1.2Meat,",poultry,and,fish,Meat,subgroup,1003
All,households,HPIQ.SALL012,2011Q3,"1.2Meat,",poultry,and,fish,Meat,subgroup,1014
All,households,HPIQ.SALL012,2011Q4,"1.2Meat,",poultry,and,fish,Meat,subgroup,1001
All,households,HPIQ.SALL012,2012Q1,"1.2Meat,",poultry,and,fish,Meat,subgroup,997
All,households,HPIQ.SALL012,2012Q2,"1.2Meat,",poultry,and,fish,Meat,subgroup,991
All,households,HPIQ.SALL012,2012Q3,"1.2Meat,",poultry,and,fish,Meat,subgroup,992
All,households,HPIQ.SALL012,2012Q4,"1.2Meat,",poultry,and,fish,Meat,subgroup,997
All,households,HPIQ.SALL012,2013Q1,"1.2Meat,",poultry,and,fish,Meat,subgroup,1006
All,households,HPIQ.SALL012,2013Q2,"1.2Meat,",poultry,and,fish,Meat,subgroup,999
All,households,HPIQ.SALL012,2013Q3,"1.2Meat,",poultry,and,fish,Meat,subgroup,1006
All,households,HPIQ.SALL012,2013Q4,"1.2Meat,",poultry,and,fish,Meat,subgroup,1016
All,households,HPIQ.SALL012,2014Q1,"1.2Meat,",poultry,and,fish,Meat,subgroup,1008
All,households,HPIQ.SALL012,2014Q2,"1.2Meat,",poultry,and,fish,Meat,subgroup,1000
All,households,HPIQ.SALL012,2014Q3,"1.2Meat,",poultry,and,fish,Meat,subgroup,993
All,households,HPIQ.SALL012,2014Q4,"1.2Meat,",poultry,and,fish,Meat,subgroup,1011
All,households,HPIQ.SALL012,2015Q1,"1.2Meat,",poultry,and,fish,Meat,subgroup,1014
All,households,HPIQ.SALL012,2015Q2,"1.2Meat,",poultry,and,fish,Meat,subgroup,1009
All,households,HPIQ.SALL012,2015Q3,"1.2Meat,",poultry,and,fish,Meat,subgroup,1000
All,households,HPIQ.SALL012,2015Q4,"1.2Meat,",poultry,and,fish,Meat,subgroup,990
All,households,HPIQ.SALL012,2016Q1,"1.2Meat,",poultry,and,fish,Meat,subgroup,1006
All,households,HPIQ.SALL012,2016Q2,"1.2Meat,",poultry,and,fish,Meat,subgroup,985
All,households,HPIQ.SALL012,2016Q3,"1.2Meat,",poultry,and,fish,Meat,subgroup,983
All,households,HPIQ.SALL012,2016Q4,"1.2Meat,",poultry,and,fish,Meat,subgroup,985
All,households,HPIQ.SALL012,2017Q1,"1.2Meat,",poultry,and,fish,Meat,subgroup,992
All,households,HPIQ.SALL012,2017Q2,"1.2Meat,",poultry,and,fish,Meat,subgroup,990
All,households,HPIQ.SALL012,2017Q3,"1.2Meat,",poultry,and,fish,Meat,subgroup,995
All,households,HPIQ.SALL012,2017Q4,"1.2Meat,",poultry,and,fish,Meat,subgroup,992
All,households,HPIQ.SALL012,2018Q1,"1.2Meat,",poultry,and,fish,Meat,subgroup,1000
All,households,HPIQ.SALL012,2018Q2,"1.2Meat,",poultry,and,fish,Meat,subgroup,997
All,households,HPIQ.SALL012,2018Q3,"1.2Meat,",poultry,and,fish,Meat,subgroup,995
All,households,HPIQ.SALL012,2018Q4,"1.2Meat,",poultry,and,fish,Meat,subgroup,1023
All,households,HPIQ.SALL012,2019Q1,"1.2Meat,",poultry,and,fish,Meat,subgroup,1021
All,households,HPIQ.SALL012,2019Q2,"1.2Meat,",poultry,and,fish,Meat,subgroup,1023
All,households,HPIQ.SALL012,2019Q3,"1.2Meat,",poultry,and,fish,Meat,subgroup,1058
All,households,HPIQ.SALL012,2019Q4,"1.2Meat,",poultry,and,fish,Meat,subgroup,1072
All,households,HPIQ.SALL012,2020Q1,"1.2Meat,",poultry,and,fish,Meat,subgroup,1091
All,households,HPIQ.SALL012,2020Q2,"1.2Meat,",poultry,and,fish,Meat,subgroup,1072
All,households,HPIQ.SALL012,2020Q3,"1.2Meat,",poultry,and,fish,Meat,subgroup,1076
All,households,HPIQ.SALL012,2020Q4,"1.2Meat,",poultry,and,fish,Meat,subgroup,1073
All,households,HPIQ.SALL012,2021Q1,"1.2Meat,",poultry,and,fish,Meat,subgroup,1066
All,households,HPIQ.SALL012,2021Q2,"1.2Meat,",poultry,and,fish,Meat,subgroup,1067
All,households,HPIQ.SALL012,2021Q3,"1.2Meat,",poultry,and,fish,Meat,subgroup,1096
All,households,HPIQ.SALL012,2021Q4,"1.2Meat,",poultry,and,fish,Meat,subgroup,1106
All,households,HPIQ.SALL012,2022Q1,"1.2Meat,",poultry,and,fish,Meat,subgroup,1143
All,households,HPIQ.SALL012,2022Q2,"1.2Meat,",poultry,and,fish,Meat,subgroup,1144
All,households,HPIQ.SALL012,2022Q3,"1.2Meat,",poultry,and,fish,Meat,subgroup,1176
All,households,HPIQ.SALL013,2008Q2,1.3Grocery,food,Grocery,food,subgroup,882
All,households,HPIQ.SALL013,2008Q3,1.3Grocery,food,Grocery,food,subgroup,902
All,households,HPIQ.SALL013,2008Q4,1.3Grocery,food,Grocery,food,subgroup,926
All,households,HPIQ.SALL013,2009Q1,1.3Grocery,food,Grocery,food,subgroup,939
All,households,HPIQ.SALL013,2009Q2,1.3Grocery,food,Grocery,food,subgroup,944
All,households,HPIQ.SALL013,2009Q3,1.3Grocery,food,Grocery,food,subgroup,950
All,households,HPIQ.SALL013,2009Q4,1.3Grocery,food,Grocery,food,subgroup,940
All,households,HPIQ.SALL013,2010Q1,1.3Grocery,food,Grocery,food,subgroup,952
All,households,HPIQ.SALL013,2010Q2,1.3Grocery,food,Grocery,food,subgroup,950
All,households,HPIQ.SALL013,2010Q3,1.3Grocery,food,Grocery,food,subgroup,962
All,households,HPIQ.SALL013,2010Q4,1.3Grocery,food,Grocery,food,subgroup,988
All,households,HPIQ.SALL013,2011Q1,1.3Grocery,food,Grocery,food,subgroup,999
All,households,HPIQ.SALL013,2011Q2,1.3Grocery,food,Grocery,food,subgroup,1015
All,households,HPIQ.SALL013,2011Q3,1.3Grocery,food,Grocery,food,subgroup,1021
All,households,HPIQ.SALL013,2011Q4,1.3Grocery,food,Grocery,food,subgroup,1020
All,households,HPIQ.SALL013,2012Q1,1.3Grocery,food,Grocery,food,subgroup,1021
All,households,HPIQ.SALL013,2012Q2,1.3Grocery,food,Grocery,food,subgroup,1010
All,households,HPIQ.SALL013,2012Q3,1.3Grocery,food,Grocery,food,subgroup,995
All,households,HPIQ.SALL013,2012Q4,1.3Grocery,food,Grocery,food,subgroup,984
All,households,HPIQ.SALL013,2013Q1,1.3Grocery,food,Grocery,food,subgroup,998
All,households,HPIQ.SALL013,2013Q2,1.3Grocery,food,Grocery,food,subgroup,996
All,households,HPIQ.SALL013,2013Q3,1.3Grocery,food,Grocery,food,subgroup,999
All,households,HPIQ.SALL013,2013Q4,1.3Grocery,food,Grocery,food,subgroup,1003
All,households,HPIQ.SALL013,2014Q1,1.3Grocery,food,Grocery,food,subgroup,1007
All,households,HPIQ.SALL013,2014Q2,1.3Grocery,food,Grocery,food,subgroup,1000
All,households,HPIQ.SALL013,2014Q3,1.3Grocery,food,Grocery,food,subgroup,985
All,households,HPIQ.SALL013,2014Q4,1.3Grocery,food,Grocery,food,subgroup,987
All,households,HPIQ.SALL013,2015Q1,1.3Grocery,food,Grocery,food,subgroup,987
All,households,HPIQ.SALL013,2015Q2,1.3Grocery,food,Grocery,food,subgroup,981
All,households,HPIQ.SALL013,2015Q3,1.3Grocery,food,Grocery,food,subgroup,965
All,households,HPIQ.SALL013,2015Q4,1.3Grocery,food,Grocery,food,subgroup,949
All,households,HPIQ.SALL013,2016Q1,1.3Grocery,food,Grocery,food,subgroup,961
All,households,HPIQ.SALL013,2016Q2,1.3Grocery,food,Grocery,food,subgroup,959
All,households,HPIQ.SALL013,2016Q3,1.3Grocery,food,Grocery,food,subgroup,952
All,households,HPIQ.SALL013,2016Q4,1.3Grocery,food,Grocery,food,subgroup,960
All,households,HPIQ.SALL013,2017Q1,1.3Grocery,food,Grocery,food,subgroup,984
All,households,HPIQ.SALL013,2017Q2,1.3Grocery,food,Grocery,food,subgroup,975
All,households,HPIQ.SALL013,2017Q3,1.3Grocery,food,Grocery,food,subgroup,987
All,households,HPIQ.SALL013,2017Q4,1.3Grocery,food,Grocery,food,subgroup,986
All,households,HPIQ.SALL013,2018Q1,1.3Grocery,food,Grocery,food,subgroup,989
All,households,HPIQ.SALL013,2018Q2,1.3Grocery,food,Grocery,food,subgroup,984
All,households,HPIQ.SALL013,2018Q3,1.3Grocery,food,Grocery,food,subgroup,987
All,households,HPIQ.SALL013,2018Q4,1.3Grocery,food,Grocery,food,subgroup,991
All,households,HPIQ.SALL013,2019Q1,1.3Grocery,food,Grocery,food,subgroup,998
All,households,HPIQ.SALL013,2019Q2,1.3Grocery,food,Grocery,food,subgroup,1000
All,households,HPIQ.SALL013,2019Q3,1.3Grocery,food,Grocery,food,subgroup,1006
All,households,HPIQ.SALL013,2019Q4,1.3Grocery,food,Grocery,food,subgroup,1008
All,households,HPIQ.SALL013,2020Q1,1.3Grocery,food,Grocery,food,subgroup,1029
All,households,HPIQ.SALL013,2020Q2,1.3Grocery,food,Grocery,food,subgroup,1034
All,households,HPIQ.SALL013,2020Q3,1.3Grocery,food,Grocery,food,subgroup,1018
All,households,HPIQ.SALL013,2020Q4,1.3Grocery,food,Grocery,food,subgroup,1017
All,households,HPIQ.SALL013,2021Q1,1.3Grocery,food,Grocery,food,subgroup,1025
All,households,HPIQ.SALL013,2021Q2,1.3Grocery,food,Grocery,food,subgroup,1030
All,households,HPIQ.SALL013,2021Q3,1.3Grocery,food,Grocery,food,subgroup,1045
All,households,HPIQ.SALL013,2021Q4,1.3Grocery,food,Grocery,food,subgroup,1058
All,households,HPIQ.SALL013,2022Q1,1.3Grocery,food,Grocery,food,subgroup,1084
All,households,HPIQ.SALL013,2022Q2,1.3Grocery,food,Grocery,food,subgroup,1105
All,households,HPIQ.SALL013,2022Q3,1.3Grocery,food,Grocery,food,subgroup,1128
All,households,HPIQ.SALL014,2008Q2,1.4Non-alcoholic,beverages,Soft,drinks,subgroup,859
All,households,HPIQ.SALL014,2008Q3,1.4Non-alcoholic,beverages,Soft,drinks,subgroup,868
All,households,HPIQ.SALL014,2008Q4,1.4Non-alcoholic,beverages,Soft,drinks,subgroup,873
All,households,HPIQ.SALL014,2009Q1,1.4Non-alcoholic,beverages,Soft,drinks,subgroup,905
All,households,HPIQ.SALL014,2009Q2,1.4Non-alcoholic,beverages,Soft,drinks,subgroup,920
All,households,HPIQ.SALL014,2009Q3,1.4Non-alcoholic,beverages,Soft,drinks,subgroup,938
All,households,HPIQ.SALL014,2009Q4,1.4Non-alcoholic,beverages,Soft,drinks,subgroup,940
All,households,HPIQ.SALL014,2010Q1,1.4Non-alcoholic,beverages,Soft,drinks,subgroup,937
All,households,HPIQ.SALL014,2010Q2,1.4Non-alcoholic,beverages,Soft,drinks,subgroup,934
All,households,HPIQ.SALL014,2010Q3,1.4Non-alcoholic,beverages,Soft,drinks,subgroup,930
All,households,HPIQ.SALL014,2010Q4,1.4Non-alcoholic,beverages,Soft,drinks,subgroup,955
All,households,HPIQ.SALL014,2011Q1,1.4Non-alcoholic,beverages,Soft,drinks,subgroup,969
All,households,HPIQ.SALL014,2011Q2,1.4Non-alcoholic,beverages,Soft,drinks,subgroup,1004
All,households,HPIQ.SALL014,2011Q3,1.4Non-alcoholic,beverages,Soft,drinks,subgroup,1002
All,households,HPIQ.SALL014,2011Q4,1.4Non-alcoholic,beverages,Soft,drinks,subgroup,999
All,households,HPIQ.SALL014,2012Q1,1.4Non-alcoholic,beverages,Soft,drinks,subgroup,997
All,households,HPIQ.SALL014,2012Q2,1.4Non-alcoholic,beverages,Soft,drinks,subgroup,988
All,households,HPIQ.SALL014,2012Q3,1.4Non-alcoholic,beverages,Soft,drinks,subgroup,993
All,households,HPIQ.SALL014,2012Q4,1.4Non-alcoholic,beverages,Soft,drinks,subgroup,991
All,households,HPIQ.SALL014,2013Q1,1.4Non-alcoholic,beverages,Soft,drinks,subgroup,1001
All,households,HPIQ.SALL014,2013Q2,1.4Non-alcoholic,beverages,Soft,drinks,subgroup,1000
All,households,HPIQ.SALL014,2013Q3,1.4Non-alcoholic,beverages,Soft,drinks,subgroup,1006
All,households,HPIQ.SALL014,2013Q4,1.4Non-alcoholic,beverages,Soft,drinks,subgroup,1012
All,households,HPIQ.SALL014,2014Q1,1.4Non-alcoholic,beverages,Soft,drinks,subgroup,1022
All,households,HPIQ.SALL014,2014Q2,1.4Non-alcoholic,beverages,Soft,drinks,subgroup,1000
All,households,HPIQ.SALL014,2014Q3,1.4Non-alcoholic,beverages,Soft,drinks,subgroup,1008
All,households,HPIQ.SALL014,2014Q4,1.4Non-alcoholic,beverages,Soft,drinks,subgroup,997
All,households,HPIQ.SALL014,2015Q1,1.4Non-alcoholic,beverages,Soft,drinks,subgroup,1009
All,households,HPIQ.SALL014,2015Q2,1.4Non-alcoholic,beverages,Soft,drinks,subgroup,1021
All,households,HPIQ.SALL014,2015Q3,1.4Non-alcoholic,beverages,Soft,drinks,subgroup,1018
All,households,HPIQ.SALL014,2015Q4,1.4Non-alcoholic,beverages,Soft,drinks,subgroup,1005
All,households,HPIQ.SALL014,2016Q1,1.4Non-alcoholic,beverages,Soft,drinks,subgroup,1008
All,households,HPIQ.SALL014,2016Q2,1.4Non-alcoholic,beverages,Soft,drinks,subgroup,1010
All,households,HPIQ.SALL014,2016Q3,1.4Non-alcoholic,beverages,Soft,drinks,subgroup,1011
All,households,HPIQ.SALL014,2016Q4,1.4Non-alcoholic,beverages,Soft,drinks,subgroup,996
All,households,HPIQ.SALL014,2017Q1,1.4Non-alcoholic,beverages,Soft,drinks,subgroup,1016
All,households,HPIQ.SALL014,2017Q2,1.4Non-alcoholic,beverages,Soft,drinks,subgroup,996
All,households,HPIQ.SALL014,2017Q3,1.4Non-alcoholic,beverages,Soft,drinks,subgroup,1017
All,households,HPIQ.SALL014,2017Q4,1.4Non-alcoholic,beverages,Soft,drinks,subgroup,1011
All,households,HPIQ.SALL014,2018Q1,1.4Non-alcoholic,beverages,Soft,drinks,subgroup,1012
All,households,HPIQ.SALL014,2018Q2,1.4Non-alcoholic,beverages,Soft,drinks,subgroup,1035
All,households,HPIQ.SALL014,2018Q3,1.4Non-alcoholic,beverages,Soft,drinks,subgroup,1041
All,households,HPIQ.SALL014,2018Q4,1.4Non-alcoholic,beverages,Soft,drinks,subgroup,1015
All,households,HPIQ.SALL014,2019Q1,1.4Non-alcoholic,beverages,Soft,drinks,subgroup,1027
All,households,HPIQ.SALL014,2019Q2,1.4Non-alcoholic,beverages,Soft,drinks,subgroup,1033
All,households,HPIQ.SALL014,2019Q3,1.4Non-alcoholic,beverages,Soft,drinks,subgroup,1050
All,households,HPIQ.SALL014,2019Q4,1.4Non-alcoholic,beverages,Soft,drinks,subgroup,1035
All,households,HPIQ.SALL014,2020Q1,1.4Non-alcoholic,beverages,Soft,drinks,subgroup,1051
All,households,HPIQ.SALL014,2020Q2,1.4Non-alcoholic,beverages,Soft,drinks,subgroup,1056
All,households,HPIQ.SALL014,2020Q3,1.4Non-alcoholic,beverages,Soft,drinks,subgroup,1054
All,households,HPIQ.SALL014,2020Q4,1.4Non-alcoholic,beverages,Soft,drinks,subgroup,1048
All,households,HPIQ.SALL014,2021Q1,1.4Non-alcoholic,beverages,Soft,drinks,subgroup,1052
All,households,HPIQ.SALL014,2021Q2,1.4Non-alcoholic,beverages,Soft,drinks,subgroup,1048
All,households,HPIQ.SALL014,2021Q3,1.4Non-alcoholic,beverages,Soft,drinks,subgroup,1055
All,households,HPIQ.SALL014,2021Q4,1.4Non-alcoholic,beverages,Soft,drinks,subgroup,1053
All,households,HPIQ.SALL014,2022Q1,1.4Non-alcoholic,beverages,Soft,drinks,subgroup,1076
All,households,HPIQ.SALL014,2022Q2,1.4Non-alcoholic,beverages,Soft,drinks,subgroup,1086
All,households,HPIQ.SALL014,2022Q3,1.4Non-alcoholic,beverages,Soft,drinks,subgroup,1105
All,households,HPIQ.SALL015,2008Q2,1.5Restaurant,meals,and,ready-to-eat,food,Restaurant,meals,subgroup,855
All,households,HPIQ.SALL015,2008Q3,1.5Restaurant,meals,and,ready-to-eat,food,Restaurant,meals,subgroup,871
All,households,HPIQ.SALL015,2008Q4,1.5Restaurant,meals,and,ready-to-eat,food,Restaurant,meals,subgroup,881
All,households,HPIQ.SALL015,2009Q1,1.5Restaurant,meals,and,ready-to-eat,food,Restaurant,meals,subgroup,890
All,households,HPIQ.SALL015,2009Q2,1.5Restaurant,meals,and,ready-to-eat,food,Restaurant,meals,subgroup,897
